name,price,Discount
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,540",21%
Fay Fay Kitchen Towels Twin Pack,"KSh 12,434",25%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 36,877",25%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 1,600",6%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,KSh 95,25%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 11,800",9%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 332,15%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 24,150",46%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 5,381",8%
Dettol Dettol Soap Herbal 175g,"KSh 1,999",12%
Absolut Absolut Vodka Blue - 750ml,KSh 520,25%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 367,47%
Durex Play Tingle Lubricant - 50ml,"KSh 12,699",16%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 47,442",9%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black",KSh 284,2%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,949",4%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 826,19%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,056",49%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),KSh 900,21%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 5,950",5%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 13,696",6%
Starlink Standard Actuated Kit,"KSh 21,196",5%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 6,550",21%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 7,660",8%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 26,598",12%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,001",51%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 90,000",26%
Nunix Free standing Hot and Normal -Q7n White,"KSh 16,999",19%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)",KSh 929,29%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 16,450",23%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 3,699",15%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 1,421",11%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,110",23%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 16,999",20%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,550",21%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,170",25%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 13,995",25%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,699",6%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 1,050",25%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 13,345",9%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,001",15%
Fay Fay Kitchen Towels Twin Pack,"KSh 90,000",46%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,170",8%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 3,465",12%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,421",25%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,KSh 780,47%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 28,380",16%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 3,685",9%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 22,550",2%
Dettol Dettol Soap Herbal 175g,"KSh 1,680",4%
Absolut Absolut Vodka Blue - 750ml,"KSh 2,199",19%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 11,800",49%
Durex Play Tingle Lubricant - 50ml,"KSh 19,250",21%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 4,769",5%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,660",6%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,540",5%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 12,434",21%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 36,877",8%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 1,600",12%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)",KSh 95,51%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 11,800",26%
Starlink Standard Actuated Kit,KSh 332,19%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 24,150",29%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 5,381",23%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,999",15%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 520,11%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",KSh 367,23%
Nunix Free standing Hot and Normal -Q7n White,"KSh 12,699",20%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 47,442",21%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,KSh 284,25%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,949",25%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 826,6%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,056",25%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",KSh 900,9%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 5,950",15%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 13,696",46%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 21,196",8%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 6,550",12%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 7,660",25%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 26,598",47%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,001",16%
Fay Fay Kitchen Towels Twin Pack,"KSh 90,000",9%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 16,999",2%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,KSh 929,4%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 16,450",19%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 3,699",49%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 1,421",21%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,110",5%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 16,999",6%
Dettol Dettol Soap Herbal 175g,"KSh 1,550",5%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,170",21%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 13,995",8%
Durex Play Tingle Lubricant - 50ml,"KSh 1,699",12%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 1,050",51%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 13,345",26%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,001",19%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 90,000",29%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,170",23%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 3,465",15%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,421",11%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,KSh 780,23%
Starlink Standard Actuated Kit,"KSh 28,380",20%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 3,685",21%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 22,550",25%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,680",25%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 2,199",6%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 11,800",25%
Nunix Free standing Hot and Normal -Q7n White,"KSh 19,250",9%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 4,769",15%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,660",46%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,540",8%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 12,434",12%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 36,877",25%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 1,600",47%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)",KSh 95,16%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 11,800",9%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 332,2%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 24,150",4%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 5,381",19%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,999",49%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White",KSh 520,21%
Fay Fay Kitchen Towels Twin Pack,KSh 367,5%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 12,699",6%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 47,442",5%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,KSh 284,21%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,949",8%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 826,12%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,056",51%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),KSh 900,26%
Dettol Dettol Soap Herbal 175g,"KSh 5,950",19%
Absolut Absolut Vodka Blue - 750ml,"KSh 13,696",29%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 21,196",23%
Durex Play Tingle Lubricant - 50ml,"KSh 6,550",15%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 7,660",11%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 26,598",23%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,001",20%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 90,000",21%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 16,999",25%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),KSh 929,25%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 16,450",6%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 3,699",25%
Starlink Standard Actuated Kit,"KSh 1,421",9%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,110",15%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 16,999",46%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,550",8%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 1,170",12%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 13,995",25%
Nunix Free standing Hot and Normal -Q7n White,"KSh 1,699",47%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 1,050",16%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 13,345",9%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,001",2%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 90,000",4%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,170",19%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 3,465",49%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,421",21%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,KSh 780,5%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 28,380",6%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 3,685",5%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 22,550",21%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,680",8%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 2,199",12%
Fay Fay Kitchen Towels Twin Pack,"KSh 11,800",51%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 19,250",26%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 4,769",19%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,660",29%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,540",23%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 12,434",15%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 36,877",11%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 1,600",23%
Dettol Dettol Soap Herbal 175g,KSh 95,20%
Absolut Absolut Vodka Blue - 750ml,"KSh 11,800",21%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),KSh 332,25%
Durex Play Tingle Lubricant - 50ml,"KSh 24,150",25%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 5,381",6%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,999",25%
"Gld 32"" Smart Frameless HD LED Television - Black.",KSh 520,9%
"Royal 43"" Smart Frameless Full HD LED Television - Black.",KSh 367,15%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 12,699",46%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 47,442",8%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)",KSh 284,12%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,949",25%
Starlink Standard Actuated Kit,KSh 826,47%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,056",16%
Nunix K1S Hot & Normal Standing Water Dispenser – White,KSh 900,9%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 5,950",2%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 13,696",4%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 21,196",19%
Nunix Free standing Hot and Normal -Q7n White,"KSh 6,550",49%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 7,660",21%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 26,598",5%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,001",6%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 90,000",5%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 16,999",21%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",KSh 929,8%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 16,450",12%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 3,699",51%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 1,421",26%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,110",19%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 16,999",29%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 1,550",23%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,170",15%
Fay Fay Kitchen Towels Twin Pack,"KSh 13,995",11%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,699",23%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 1,050",20%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 13,345",21%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,001",25%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 90,000",25%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 1,170",6%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 3,465",25%
Dettol Dettol Soap Herbal 175g,"KSh 1,421",9%
Absolut Absolut Vodka Blue - 750ml,KSh 780,15%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 28,380",46%
Durex Play Tingle Lubricant - 50ml,"KSh 3,685",8%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 22,550",12%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,680",25%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 2,199",47%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 11,800",16%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 19,250",9%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 4,769",2%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 1,660",4%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,540",19%
Starlink Standard Actuated Kit,"KSh 12,434",49%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 36,877",21%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 1,600",5%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,KSh 95,6%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)","KSh 11,800",5%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",KSh 332,21%
Nunix Free standing Hot and Normal -Q7n White,"KSh 24,150",8%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 5,381",12%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,999",51%
Jameson Jameson Irish Whiskey - 750 Ml,KSh 520,26%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 367,19%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 12,699",29%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 47,442",23%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)",KSh 284,15%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,949",11%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),KSh 826,23%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,056",20%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,KSh 900,21%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 5,950",25%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 13,696",25%
Fay Fay Kitchen Towels Twin Pack,"KSh 21,196",6%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 6,550",25%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 7,660",9%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 26,598",15%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,"KSh 1,001",46%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 90,000",8%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 16,999",12%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),KSh 929,25%
Dettol Dettol Soap Herbal 175g,"KSh 16,450",47%
Absolut Absolut Vodka Blue - 750ml,"KSh 3,699",16%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 1,421",9%
Durex Play Tingle Lubricant - 50ml,"KSh 1,110",2%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 16,999",4%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,550",19%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,170",49%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 13,995",21%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 1,699",5%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 1,050",6%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)","KSh 13,345",5%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 1,001",21%
Starlink Standard Actuated Kit,"KSh 90,000",8%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 1,170",12%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 3,465",51%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,421",26%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 780,19%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)","KSh 28,380",29%
Nunix Free standing Hot and Normal -Q7n White,"KSh 3,685",23%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 22,550",15%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,"KSh 1,680",11%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 2,199",23%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black","KSh 11,800",20%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 19,250",21%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml","KSh 4,769",25%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,660",25%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,540",6%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 12,434",25%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 36,877",9%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 1,600",15%
Oraimo Data Cable OCD-M53 2A 1M Black,KSh 95,46%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 11,800",8%
Fay Fay Kitchen Towels Twin Pack,KSh 332,12%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 24,150",25%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 5,381",47%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,999",16%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,KSh 520,9%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,KSh 367,2%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 12,699",4%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 47,442",19%
Dettol Dettol Soap Herbal 175g,KSh 284,49%
Absolut Absolut Vodka Blue - 750ml,"KSh 1,949",21%
