name,price,Discount
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 1,550",25%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 1,170",6%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 13,995",25%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 1,699",9%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 1,050",15%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 13,345",46%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,001",8%
Fay Fay Kitchen Towels Twin Pack,"KSh 90,000",12%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 1,170",25%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,"KSh 3,465",47%
Ballantine's Ballantine's Blended Scotch Whiskey - 750 Ml.,"KSh 1,421",16%
Oraimo Cannon 2 Pro 18W Fast Charging Charger Kit + Type-C Cable,KSh 780,9%
Oraimo OEP-650 Halo Airy Wired Earphone - Black,"KSh 28,380",2%
Nunix NU-9090B 5.1 Woofer/mini Home Theatre Speaker System,"KSh 3,685",4%
Ramtons RF/130- 213l 2 Door Direct Cool Fridge+ Dispenser (1YR WRTY),"KSh 22,550",19%
Dettol Dettol Soap Herbal 175g,"KSh 1,680",49%
Absolut Absolut Vodka Blue - 750ml,"KSh 2,199",21%
Sundabest Plain White Decorated Dinner Plates 6 Pcs (311009774),"KSh 11,800",5%
Durex Play Tingle Lubricant - 50ml,"KSh 19,250",6%
Oraimo 18W Dual Output 3 Ways Play Music Digital Display,"KSh 4,769",5%
"Vitron V636, 3.1CH Multimedia Bluetooth Speaker System - Black","KSh 1,660",21%
"Gld 32"" Smart Frameless HD LED Television - Black.","KSh 1,540",8%
"Royal 43"" Smart Frameless Full HD LED Television - Black.","KSh 12,434",12%
"Amtec AM-732 3.1CH Subwoofer Bluetooth System, FM/USB/SD - Black (1YR WRTY)","KSh 36,877",51%
Vitron V837 3.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 1,600",26%
"Oppo A58, 6.72'',50MP, 8GB+128GB, 4G, 5000mAh, Dual Stereo Speakers (Dual Sim)- Dazzling Green, (2YRs WRTY)",KSh 95,19%
NIVEA UV Face Shine Control Cream SPF 50 - 50ml,"KSh 11,800",29%
Starlink Standard Actuated Kit,KSh 332,23%
NIVEA Radiant & Beauty Advanced Care Lotion For Women - 400ml (Pack Of 2),"KSh 24,150",15%
Nunix K1S Hot & Normal Standing Water Dispenser – White,"KSh 5,381",11%
NIVEA Perfect & Radiant Even Tone Day And Night Cream For Women - 50ml,"KSh 1,999",23%
"NIVEA Pearl & Beauty Anti-Perspirant Rollon, 48h - 50ml (Pack Of 2)",KSh 520,20%
"Ramtons RF/203, 2 Door Direct Cool Fridge, 128 Litres - Silver(1YR WRTY)",KSh 367,21%
Nunix Free standing Hot and Normal -Q7n White,"KSh 12,699",25%
"Nunix 50 * 55cm Cookers 3 Gas, 1 Hotplate Electric Oven 3 Gas, Electric Oven(1YR WRTY)","KSh 47,442",25%
Nunix AK-105 - 2 In 1 Blender With Grinding Machine – 350W -  1.5L – Black,KSh 284,6%
Jameson Jameson Irish Whiskey - 750 Ml,"KSh 1,949",25%
"Tecno POP 8, 6.6"", 128GB ROM+ 4GB RAM+ (4GB RAM Extended), 13MP, 4G (Dual SIM) 5000MAh - Gravity Black",KSh 826,9%
Nunix Nunix 7.5KG Twins Tub Washing Machine,"KSh 1,056",15%
"NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum, 30ml & Day Cream, 40ml",KSh 900,46%
"Vitron VB-815 - 2in1 Blender - 1.5L - 350W - White & Blue, (1YR WRTY)","KSh 5,950",8%
Rashnik Steel Cloth Drying Foldable Stand with Infinity Hooks,"KSh 13,696",12%
Ramtons RM/553 - 21 Litre Tank Wet And Dry Vacuum Cleaner - Black (1YR WRTY),"KSh 21,196",25%
Ramtons RF/257- 2 Door Direct Cool Fridge - 213 Liters - Silver (1YR WRTY),"KSh 6,550",47%
NIVEA NIVEA SUN UV Face Blemish Control - 40ml,"KSh 7,660",16%
Oraimo Data Cable OCD-M53 2A 1M Black,"KSh 26,598",9%
"Tecno POP 8, 6.6"", 128GB + 4GB RAM (Extended to 8GB), 13MP, 4G (Dual SIM), 5000MAh - Mystery White","KSh 1,001",2%
Fay Fay Kitchen Towels Twin Pack,"KSh 90,000",4%
Nunix Nunix 100 Litres Freezer Fridge,"KSh 16,999",19%
NIVEA Perfect & Radiant Luminous630 Anti Dark Marks Serum - 30ml-pack Of 2,KSh 929,49%
